Race,Gender,Age,Education,Party,Vote,Ideology,Income,Union,Athlete,Friend of Athlete,Region,Support for NCAA Athletes,Support for NCAA Administrators,Racial Resentment Score,Linked Fate Score,Treatment Group,Payment Score,Protest Score,Pandemic Score,Violation Response,Suspension Response,Draft Response,Compensation Response,Social Image Response,Pandemic Response,LF,RR
WHITE,MALE,THIRTIES,HS_GED,IND,NO,MOD,0 - 24k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,0,0,Linked Fate Treatment Group,-1,3,-2,Y,Y,Y,N,Y,N,MID,MID
WHITE,MALE,TWENTIES,SOME_COLL,IND,ND,MOD,51k - 100k,NO,X,NO,MIDWEST,NEITHER,NEITHER,3,5,Race Neutral Control Group,-1,3,1,N,Y,N,X,X,X,MID,MID
WHITE,FEMALE,THIRTIES,ASSOC,REP,YES,LIB,25k - 50k,NO,X,NO,NORTHEAST,X,X,-7,-1,Retail Control Group,1,4,0,X,X,X,X,X,X,LOW,HIGH
MIXED,FEMALE,TEENS,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,OPPOSE,S_OPPOSE,6,3,Linked Fate Treatment Group,2,4,3,Y,Y,Y,N,Y,N,MID,LOW
WHITE,MALE,FIFTIES,SOME_COLL,REP,YES,CON,0 - 24k,NO,X,NO,NORTHWEST,NEITHER,NEITHER,0,1,Race Neutral Control Group,-3,-3,2,Y,Y,N,X,X,X,MID,MID
ASIAN,FEMALE,TWENTIES,ASSOC,IND,YES,MOD,51k - 100k,YES,X,NO,NORTHWEST,NEITHER,OPPOSE,-3,4,Retail Control Group,2,2,3,X,X,X,X,X,X,MID,HIGH
WHITE,FEMALE,TWENTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,YES,MIDWEST,NEITHER,NEITHER,6,3,Linked Fate Treatment Group,-2,3,2,N,Y,N,N,N,N,MID,LOW
WHITE,MALE,TWENTIES,BACH,IND,YES,MOD,0 - 24k,NO,X,NO,MIDWEST,SUPPORT,NEITHER,1,4,Racial Resentment Treatment Group,1,1,2,Y,Y,Y,Y,N,N,MID,MID
WHITE,MALE,TWENTIES,SOME_COLL,IND,YES,CON,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,3,0,Retail Control Group,-3,4,2,X,X,X,X,X,X,MID,MID
WHITE,FEMALE,FORTIES,BACH,REP,YES,CON,51k - 100k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,0,-2,Race Neutral Control Group,-3,-4,-3,X,X,N,X,X,X,LOW,MID
MIXED,MALE,TWENTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,NORTHWEST,NEITHER,OPPOSE,0,4,Race Neutral Control Group,-2,3,2,Y,Y,N,X,X,X,MID,MID
WHITE,MALE,TWENTIES,MAST,REP,YES,MOD,51k - 100k,YES,X,YES,NORTHEAST,S_SUPPORT,S_SUPPORT,7,1,Linked Fate Treatment Group,3,2,3,N,N,N,Y,Y,N,MID,LOW
WHITE,FEMALE,TWENTIES,HS_GED,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,0,0,Retail Control Group,0,2,2,X,X,X,X,X,X,MID,MID
HISP_LAT,MALE,TWENTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,NORTHEAST,SUPPORT,SUPPORT,4,3,Racial Resentment Treatment Group,2,3,2,N,N,N,N,Y,N,MID,MID
WHITE,FEMALE,TWENTIES,SOME_COLL,DEM,YES,LIB,0 - 24k,NO,X,NO,MIDWEST,SUPPORT,NEITHER,4,6,Racial Resentment Treatment Group,-1,3,2,Y,Y,Y,X,N,N,HIGH,MID
WHITE,MALE,FIFTIES,SOME_COLL,REP,YES,MOD,51k - 100k,NO,X,NO,SOUTHWEST,S_SUPPORT,SUPPORT,2,0,Retail Control Group,-1,3,2,X,X,X,X,X,X,MID,MID
ASIAN,MALE,TWENTIES,BACH,DEM,YES,LIB,301k - 500k,NO,X,NO,WESTCOAST,S_SUPPORT,OPPOSE,0,2,Retail Control Group,1,4,3,X,X,X,X,X,X,MID,MID
WHITE,MALE,SIXTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHWEST,SUPPORT,SUPPORT,6,4,Race Neutral Control Group,0,1,3,Y,N,N,X,X,X,MID,LOW
BLACK,FEMALE,TEENS,SOME_COLL,IND,YES,LIB,0 - 24k,NO,X,NO,SOUTHWEST,OPPOSE,OPPOSE,6,5,Racial Resentment Treatment Group,2,4,2,X,N,X,N,Y,N,MID,LOW
HISP_LAT,FEMALE,TEENS,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,YES,SOUTHEAST,NEITHER,NEITHER,6,4,Racial Resentment Treatment Group,3,4,3,Y,Y,N,Y,N,N,MID,LOW
WHITE,X,FIFTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,-2,1,Race Neutral Control Group,3,0,3,Y,Y,X,X,X,X,MID,HIGH
WHITE,MALE,FIFTIES,MAST,IND,YES,LIB,51k - 100k,NO,X,YES,NORTHEAST,S_SUPPORT,SUPPORT,7,5,Racial Resentment Treatment Group,-3,0,2,Y,Y,Y,Y,N,N,MID,LOW
